Alaska	gin:3 ounces,Chartreuse:1/2 ounce,orange bitters:1 dash,
Alexander	brandy:1 1/2 ounces,cream:1 ounce,cr�me de cacao:1 ounce,
Algonquin	rye whiskey:2 ounces,dry vermouth:1 ounce,pineapple juice:1 ounce,
Americano	Campari:1 ounce,sweet vermouth:1 ounce,soda water:2 ounces,
Aviation	gin:2 ounces,maraschino liqueur:3/4 ounce,lemon juice:3/4 ounce,
Bacardi Cocktail	rum:1 1/2 ounces,lime juice:3/4 ounce,grenadine:2 dashes,
Bellini	white peach puree:1 ounce,champagne:5 ounces,
Bermuda Rum Swizzle	rum:2 ounces,lime juice:1 ounce,pineapple juice:1 ounce,orange juice:1 ounce,falernum:1/4 ounce,
Between The Sheets	brandy:1 ounce,rum:1 ounce,Cointreau:1 ounce,lemon juice:1/2 ounce,
Bijou	gin:1 ounce,Chartreuse:1 ounce,sweet vermouth:1 ounce,orange bitters:1 dash,
Bistro Sidecar	brandy:1 1/2 ounces,Tuaca:1/2 ounce,Frangelico:1/2 ounce,lemon juice:1/8 ounce,simple syrup:1/8 ounce,tangerine juice:1/8 ounce,
Black Feather	brandy:2 ounces,dry vermouth:1 ounce,Cointreau:1/2 ounce,Angostura Bitters:1 dash,
Black Russian	vodka:2 ounces,coffee liqueur:1 ounce,
Blood And Sand	Scotch whisky:1 1/2 ounces,Cherry Heering:3/4 ounce,sweet vermouth:3/4 ounce,orange juice:3/4 ounce,
Bloody Mary	vodka:1 1/2 ounces,tomato juice:3 ounces,lemon juice:1/2 ounce,worcestershire sauce:4 dashes,Tabasco sauce:2 dashes,black pepper:2 dashes,celery salt:2 dashes,horseradish:1/4 ounce,
Bloomsbury	gin:2 ounces,Licor 43:1/2 ounce,Lillet blanc:1/2 ounce,Peychaud's bitters:2 dashes,
Bobbo's Bride	gin:1 ounce,vodka:1 ounce,peach brandy:1/3 ounce,Campari:1/6 ounce,
Bobby Burns	Scotch whisky:1 ounce,sweet vermouth:1 ounce,Benedictine:1/6 ounce,
Bordeaux Cocktail	vodka:1 1/2 ounces,Lillet blanc:1/2 ounce,
Bourbon Crusta	bourbon whiskey:2 ounces,triple sec:1/2 ounce,maraschino liqueur:1/2 ounce,lemon juice:1/2 ounce,orange bitters:2 dashes,
Bridal	gin:2 ounces,sweet vermouth:1 ounce,maraschino liqueur:1/6 ounce,orange bitters:1 dash,
Bronx	gin:1 1/2 ounces,sweet vermouth:3/4 ounce,dry vermouth:3/4 ounce,orange juice:3/4 ounce,
Brooklyn	rye whiskey:1 1/2 ounces,sweet vermouth:1/2 ounce,Amer Picon:1 dash,maraschino liqueur:1 dash,
Cabaret	gin:1 ounce,dry vermouth:3/4 ounce,Benedictine:1/4 ounce,Angostura Bitters:2 dashes,
Cable Car	spiced rum:2 ounces,Cointreau:1 ounce,lemon juice:1/3 ounce,
Caesar	vodka:1 1/2 ounces,Tabasco sauce:2 dashes,salt:3 dashes,black pepper:3 dashes,worcestershire sauce:4 dashes,tomato-clam juice:4 ounces,
Cafe Diable	orange:1 whole,brandy:1 1/2 cups,cloves:4 whole,sugar:2 tablespoons,coffee:2 cups,
